medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Michaela Blyde,gold,New Zealand,1995-12-29,New Plymouth,New Plymouth District,rugby sevens at the 2024 Summer Olympics – Women's tournament
Jazmin Hotham,gold,New Zealand,2000-07-02,Henderson,Auckland Region,rugby sevens at the 2024 Summer Olympics – Women's tournament
Sarah Hirini,gold,New Zealand,1992-12-09,Feilding,Manawatū District,rugby sevens at the 2024 Summer Olympics – Women's tournament
Tyla Nathan-Wong,gold,New Zealand,1994-07-01,Auckland,Auckland Region,rugby sevens at the 2024 Summer Olympics – Women's tournament
Jorja Miller,gold,New Zealand,2004-02-08,Timaru,Timaru District,rugby sevens at the 2024 Summer Olympics – Women's tournament
Manaia Nuku,gold,New Zealand,2002-09-03,Hamilton,Hamilton City,rugby sevens at the 2024 Summer Olympics – Women's tournament
Mahina Paul,gold,New Zealand,2001-04-19,Whakatāne,Whakatāne District,rugby sevens at the 2024 Summer Olympics – Women's tournament
Risealeaana Pouri-Lane,gold,New Zealand,2000-05-28,Auburn,New South Wales,rugby sevens at the 2024 Summer Olympics – Women's tournament
Alena Saili,gold,New Zealand,1998-12-13,Porirua,Wellington Region,rugby sevens at the 2024 Summer Olympics – Women's tournament
Theresa Fitzpatrick,gold,New Zealand,1995-02-25,Auckland,Auckland Region,rugby sevens at the 2024 Summer Olympics – Women's tournament
Stacey Waaka,gold,New Zealand,1995-11-03,Papakura,Auckland Region,rugby sevens at the 2024 Summer Olympics – Women's tournament
Portia Woodman,gold,New Zealand,1991-07-12,Kawakawa,Far North District,rugby sevens at the 2024 Summer Olympics – Women's tournament
Caroline Crossley,silver,Canada,1998-04-19,New Westminster,Metro Vancouver Regional District,rugby sevens at the 2024 Summer Olympics – Women's tournament
Olivia Apps,silver,Canada,1998-12-01,Toronto,Ontario,rugby sevens at the 2024 Summer Olympics – Women's tournament
Alysha Corrigan,silver,Canada,1997-01-25,Charlottetown,Queens County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Asia Hogan-Rochester,silver,Canada,1999-04-20,Toronto,Ontario,rugby sevens at the 2024 Summer Olympics – Women's tournament
Chloe Daniels,silver,Canada,2003-01-01,Sutton,Georgina,rugby sevens at the 2024 Summer Olympics – Women's tournament
Charity Williams,silver,Canada,1996-10-20,Toronto,Ontario,rugby sevens at the 2024 Summer Olympics – Women's tournament
Florence Symonds,silver,Canada,2002-05-20,Hong Kong,People's Republic of China,rugby sevens at the 2024 Summer Olympics – Women's tournament
Carissa Norsten,silver,Canada,2003-01-01,Waldheim,Saskatchewan,rugby sevens at the 2024 Summer Olympics – Women's tournament
Krissy Scurfield,silver,Canada,2003-06-15,Canmore,Alberta,rugby sevens at the 2024 Summer Olympics – Women's tournament
Fancy Bermudez,silver,Canada,2002-01-01,Edmonton,Alberta,rugby sevens at the 2024 Summer Olympics – Women's tournament
Piper Logan,silver,Canada,2001-07-13,Calgary,Alberta,rugby sevens at the 2024 Summer Olympics – Women's tournament
Keyara Wardley,silver,Canada,2000-01-27,Calgary,Alberta,rugby sevens at the 2024 Summer Olympics – Women's tournament
Taylor Perry,silver,Canada,2000-07-23,NA,NA,rugby sevens at the 2024 Summer Olympics – Women's tournament
Shalaya Valenzuela,silver,Canada,1999-06-12,Abbotsford,Fraser Valley Regional District,rugby sevens at the 2024 Summer Olympics – Women's tournament
Alev Kelter,bronze,United States of America,1991-03-21,Tampa,Hillsborough County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Lauren Doyle,bronze,United States of America,1991-02-23,Boody,Macon County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Kayla Canett,bronze,United States of America,1998-03-28,San Diego,San Diego County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Kristi Kirshe,bronze,United States of America,1994-10-14,NA,NA,rugby sevens at the 2024 Summer Olympics – Women's tournament
Ilona Maher,bronze,United States of America,1996-08-12,Burlington,Chittenden County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Ariana Ramsey,bronze,United States of America,2000-03-25,Philadelphia,Philadelphia County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Naya Tapper,bronze,United States of America,1994-08-03,Beaufort,Beaufort County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Alena Olsen,bronze,United States of America,1995-12-06,Grand Rapids,Kent County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Alex Sedrick,bronze,United States of America,1998-01-01,Salt Lake City,Salt Lake County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Sammy Sullivan,bronze,United States of America,1998-05-22,Fayetteville,Cumberland County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Sarah Levy,bronze,United States of America,1995-12-27,Cape Town,City of Cape Town,rugby sevens at the 2024 Summer Olympics – Women's tournament
Stephanie Rovetti,bronze,United States of America,1991-10-02,Reno,Washoe County,rugby sevens at the 2024 Summer Olympics – Women's tournament
Tom Reuveny,gold,Israel,2000-06-12,Ramat Gan,Tel Aviv District,sailing at the 2024 Summer Olympics – men's IQFoil
Grae Morris,silver,Australia,2003-10-16,Sydney,New South Wales,sailing at the 2024 Summer Olympics – men's IQFoil
Luuc van Opzeeland,bronze,Netherlands,1999-05-21,Hoofddorp,Haarlemmermeer,sailing at the 2024 Summer Olympics – men's IQFoil
Valentin Bontus,gold,Austria,2001-02-01,Perchtoldsdorf,Mödling District,sailing at the 2024 Summer Olympics – men's Formula Kite
Toni Vodišek,silver,Slovenia,2000-06-07,Izola,Municipality of Izola,sailing at the 2024 Summer Olympics – men's Formula Kite
Maximilian Maeder,bronze,Singapore,2006-09-12,Singapore,NA,sailing at the 2024 Summer Olympics – men's Formula Kite
Matthew Wearn,gold,Australia,1995-09-30,Perth,Western Australia,sailing at the 2024 Summer Olympics – Laser
Pavlos Kontides,silver,Cyprus,1990-02-11,Limassol,Limassol District,sailing at the 2024 Summer Olympics – Laser
Stefano Peschiera,bronze,Peru,1995-01-16,Lima,Lima province,sailing at the 2024 Summer Olympics – Laser
Diego Botín,gold,Spain,1993-12-25,Santander,Cantabria,sailing at the 2024 Summer Olympics – 49er
Florian Trittel,gold,Spain,1994-05-23,Münsterlingen,Kreuzlingen District,sailing at the 2024 Summer Olympics – 49er
Isaac McHardie,silver,New Zealand,1997-07-06,Hamilton,Hamilton City,sailing at the 2024 Summer Olympics – 49er
William McKenzie,silver,New Zealand,1997-02-19,Auckland,Auckland Region,sailing at the 2024 Summer Olympics – 49er
Ian Barrows,bronze,United States of America,1995-01-14,Saint Thomas,Saint Thomas,sailing at the 2024 Summer Olympics – 49er
Hans Henken,bronze,United States of America,NA,Laguna Beach,Orange County,sailing at the 2024 Summer Olympics – 49er
Marta Maggetti,gold,Italy,1996-01-10,Cagliari,Metropolitan City of Cagliari,sailing at the 2024 Summer Olympics – women's IQFoil
Sharon Kantor,silver,Israel,2003-01-28,Avihayil,Hefer Valley Regional Council,sailing at the 2024 Summer Olympics – women's IQFoil
Emma Wilson,bronze,United Kingdom,1999-04-07,Nottingham,City of Nottingham,sailing at the 2024 Summer Olympics – women's IQFoil
Eleanor Aldridge,gold,United Kingdom,1996-12-29,Poole,"Bournemouth, Christchurch and Poole",sailing at the 2024 Summer Olympics – women's Formula Kite
Lauriane Nolot,silver,France,1998-12-09,Toulon,arrondissement of Toulon,sailing at the 2024 Summer Olympics – women's Formula Kite
Annelous Lammerts,bronze,Netherlands,1993-11-01,Rockanje,Voorne aan Zee,sailing at the 2024 Summer Olympics – women's Formula Kite
Marit Bouwmeester,gold,Netherlands,1988-06-16,Warten,Leeuwarden,sailing at the 2024 Summer Olympics – Laser Radial
Anne-Marie Rindom,silver,Denmark,1991-06-14,Søllerød,Rudersdal Municipality,sailing at the 2024 Summer Olympics – Laser Radial
Line Flem Høst,bronze,Norway,1995-11-10,Oslo,Oslo Municipality,sailing at the 2024 Summer Olympics – Laser Radial
Odile van Aanholt,gold,Netherlands,1998-01-14,Willemstad,Curaçao,sailing at the 2024 Summer Olympics – 49er FX
Annette Duetz,gold,Netherlands,1993-06-29,Zeddam,Montferland,sailing at the 2024 Summer Olympics – 49er FX
Vilma Bobeck,silver,Sweden,1998-01-05,Nacka,Nacka Municipality,sailing at the 2024 Summer Olympics – 49er FX
Rebecca Netzler,silver,Sweden,1995-07-22,Östersund,Östersund Municipality,sailing at the 2024 Summer Olympics – 49er FX
Sarah Steyaert,bronze,France,1986-11-27,Bordeaux,Bordeaux Métropole,sailing at the 2024 Summer Olympics – 49er FX
Charline Picon,bronze,France,1984-12-23,Royan,Arrondissement of Rochefort,sailing at the 2024 Summer Olympics – 49er FX
Lara Vadlau,gold,Austria,1994-03-29,Feldbach,Südoststeiermark District,sailing at the 2024 Summer Olympics – 470
Keiju Okada,silver,Japan,1995-12-02,Kitakyushu,Fukuoka Prefecture,sailing at the 2024 Summer Olympics – 470
Miho Yoshioka,silver,Japan,1990-08-27,Hiroshima,Hiroshima Prefecture,sailing at the 2024 Summer Olympics – 470
Anton Dahlberg,bronze,Sweden,1985-05-10,Skogslyckan parish,Växjö Municipality,sailing at the 2024 Summer Olympics – 470
Lovisa Karlsson,bronze,Sweden,1995-05-24,Gothenburg,Gothenburg Municipality,sailing at the 2024 Summer Olympics – 470
Ruggero Tita,gold,Italy,1992-03-20,Rovereto,Trentino,sailing at the 2024 Summer Olympics – Nacra 17
Caterina Banti,gold,Italy,1987-06-13,Rome,Metropolitan City of Rome,sailing at the 2024 Summer Olympics – Nacra 17
Mateo Majdalani,silver,Argentina,1994-07-15,San Isidro,San Isidro Partido,sailing at the 2024 Summer Olympics – Nacra 17
Eugenia Bosco,silver,Argentina,1997-06-12,San Pedro,San Pedro Partido,sailing at the 2024 Summer Olympics – Nacra 17
Micah Wilkinson,bronze,New Zealand,1996-02-06,Hamilton,Hamilton City,sailing at the 2024 Summer Olympics – Nacra 17
Erica Dawson,bronze,New Zealand,1994-07-24,Auckland,Auckland Region,sailing at the 2024 Summer Olympics – Nacra 17
Xie Yu,gold,People's Republic of China,2000-06-12,Huazuo Miao and Yi Ethnic Township,Nayong County,shooting at the 2024 Summer Olympics – men's 10 metre air pistol
Federico Nilo Maldini,silver,Italy,2001-03-28,Bologna,Metropolitan City of Bologna,shooting at the 2024 Summer Olympics – men's 10 metre air pistol
Paolo Monna,bronze,Italy,1998-04-19,Fasano,Province of Brindisi,shooting at the 2024 Summer Olympics – men's 10 metre air pistol
Li Yuehong,gold,People's Republic of China,1989-08-28,Jinan,Shandong,shooting at the 2024 Summer Olympics – men's 25 metre rapid fire pistol
Wang Xinjie,bronze,People's Republic of China,1996-10-24,NA,NA,shooting at the 2024 Summer Olympics – men's 25 metre rapid fire pistol
Sheng Lihao,gold,People's Republic of China,2004-12-04,Zhangjiagang,Suzhou,shooting at the 2024 Summer Olympics
Victor Lindgren,silver,Sweden,2003-05-16,Sjöbo,Sjöbo Municipality,shooting at the 2024 Summer Olympics
Miran Maričić,bronze,Croatia,1997-06-17,Bjelovar,Bjelovar-Bilogora County,shooting at the 2024 Summer Olympics
Liu Yukun,gold,People's Republic of China,1997-04-12,Xi'an,Shaanxi,shooting at the 2024 Summer Olympics – men's 50 metre rifle three positions
Serhiy Kulish,silver,Ukraine,1993-04-17,Cherkasy,Cherkasy Oblast,shooting at the 2024 Summer Olympics – men's 50 metre rifle three positions
Swapnil Kusale,bronze,India,1995-08-06,Kolhapur district,Pune division,shooting at the 2024 Summer Olympics – men's 50 metre rifle three positions
Vincent Hancock,gold,United States of America,1989-03-19,Port Charlotte,Charlotte County,shooting at the 2024 Summer Olympics – men's skeet
Conner Prince,silver,United States of America,2000-01-01,Fort Worth,Tarrant County,shooting at the 2024 Summer Olympics – men's skeet
Lee Meng-yuan,bronze,Chinese Taipei,1994-08-25,Taoyuan,Taiwan,shooting at the 2024 Summer Olympics – men's skeet
Nathan Hales,gold,United Kingdom,1996-06-16,Chatham,Medway,shooting at the 2024 Summer Olympics – men's trap
Qi Ying,silver,People's Republic of China,1997-01-23,Zibo,Shandong,shooting at the 2024 Summer Olympics – men's trap
Jean Pierre Brol,bronze,Guatemala,1982-12-18,Guatemala City,Guatemala Department,shooting at the 2024 Summer Olympics – men's trap
Oh Ye-jin,gold,South Korea,2005-05-10,Jeju,South Korea,shooting at the 2024 Summer Olympics – women's 10 metre air pistol
Kim Yeji,silver,South Korea,1992-09-04,Danyang County,North Chungcheong,shooting at the 2024 Summer Olympics – women's 10 metre air pistol
Manu Bhaker,bronze,India,2002-02-18,Jhajjar district,Rohtak division,shooting at the 2024 Summer Olympics – women's 10 metre air pistol
Yang Jiin,gold,South Korea,2003-05-20,NA,NA,shooting at the 2024 Summer Olympics – women's 25 metre pistol
Camille Jedrzejewski,silver,France,2002-04-25,Compiègne,canton of Compiègne-Nord,shooting at the 2024 Summer Olympics – women's 25 metre pistol
Veronika Major,bronze,Hungary,1997-03-19,Keszthely,Keszthely District,shooting at the 2024 Summer Olympics – women's 25 metre pistol
Ban Hyo-jin,gold,South Korea,2007-09-20,Daegu,South Korea,shooting at the 2024 Summer Olympics – women's 10 metre air rifle
Huang Yuting,silver,People's Republic of China,2006-09-03,Taizhou,Zhejiang,shooting at the 2024 Summer Olympics – women's 10 metre air rifle
Audrey Gogniat,bronze,Switzerland,2002-10-30,Le Noirmont,Franches-Montagnes District,shooting at the 2024 Summer Olympics – women's 10 metre air rifle
Chiara Leone,gold,Switzerland,1998-06-15,Rheinfelden,Rheinfelden District,shooting at the 2024 Summer Olympics – women's 50 metre rifle three positions
Sagen Maddalena,silver,United States of America,1993-01-01,Woodland,Yolo County,shooting at the 2024 Summer Olympics – women's 50 metre rifle three positions
Zhang Qiongyue,bronze,People's Republic of China,2004-03-12,NA,NA,shooting at the 2024 Summer Olympics – women's 50 metre rifle three positions
Francisca Crovetto,gold,Chile,1990-04-27,Santiago,Santiago Metropolitan Region,shooting at the 2024 Summer Olympics – women's skeet
Amber Hill,silver,United Kingdom,1997-08-21,Windsor,Windsor and Maidenhead,shooting at the 2024 Summer Olympics – women's skeet
Austen Smith,bronze,United States of America,2001-07-23,Dallas,Dallas County,shooting at the 2024 Summer Olympics – women's skeet
Adriana Ruano,gold,Guatemala,1995-06-26,Guatemala City,Guatemala Department,shooting at the 2024 Summer Olympics – women's trap
Silvana Stanco,silver,Italy,1993-01-06,Zürich,Zürich District,shooting at the 2024 Summer Olympics – women's trap
Penny Smith,bronze,Australia,1995-04-21,Geelong,City of Greater Geelong,shooting at the 2024 Summer Olympics – women's trap
Zorana Arunović,gold,Serbia,1986-11-22,Belgrade,City of Belgrade,shooting at the 2024 Summer Olympics – mixed 10 metre air pistol team
Damir Mikec,gold,Serbia,1984-03-31,Split,Split-Dalmatia County,shooting at the 2024 Summer Olympics – mixed 10 metre air pistol team
Şevval İlayda Tarhan,silver,Turkey,2000-01-01,Ankara,Ankara Province,shooting at the 2024 Summer Olympics – mixed 10 metre air pistol team
Yusuf Dikeç,silver,Turkey,1973-01-01,Göksun,Kahramanmaraş Province,shooting at the 2024 Summer Olympics – mixed 10 metre air pistol team
Manu Bhaker,bronze,India,2002-02-18,Jhajjar district,Rohtak division,shooting at the 2024 Summer Olympics – mixed 10 metre air pistol team
Sarabjot Singh,bronze,India,2001-09-30,Barara,NA,shooting at the 2024 Summer Olympics – mixed 10 metre air pistol team
Huang Yuting,gold,People's Republic of China,2006-09-03,Taizhou,Zhejiang,shooting at the 2024 Summer Olympics – mixed 10 metre air rifle team
Sheng Lihao,gold,People's Republic of China,2004-12-04,Zhangjiagang,Suzhou,shooting at the 2024 Summer Olympics – mixed 10 metre air rifle team
Keum Ji-hyeon,silver,South Korea,2000-03-17,Ulsan,South Korea,shooting at the 2024 Summer Olympics – mixed 10 metre air rifle team
Park Ha-jun,silver,South Korea,2000-04-19,Yangyang-eup,Yangyang County,shooting at the 2024 Summer Olympics – mixed 10 metre air rifle team
Alexandra Le,bronze,Kazakhstan,2004-05-03,Almaty,Kazakhstan,shooting at the 2024 Summer Olympics – mixed 10 metre air rifle team
Islam Satpayev,bronze,Kazakhstan,1998-09-21,Almaty,Kazakhstan,shooting at the 2024 Summer Olympics – mixed 10 metre air rifle team
Diana Bacosi,gold,Italy,1983-07-13,Città della Pieve,province of Perugia,shooting at the 2024 Summer Olympics – mixed skeet team
Gabriele Rossetti,gold,Italy,1995-03-07,Florence,Metropolitan City of Florence,shooting at the 2024 Summer Olympics – mixed skeet team
Austen Smith,silver,United States of America,2001-07-23,Dallas,Dallas County,shooting at the 2024 Summer Olympics – mixed skeet team
